Number,Total_Total,Total_Males,Total_Females,NumberOfHoursWorked_Below30_Total,NumberOfHoursWorked_Below30_Males,NumberOfHoursWorked_Below30_Females,NumberOfHoursWorked_30_34_Total,NumberOfHoursWorked_30_34_Males,NumberOfHoursWorked_30_34_Females,NumberOfHoursWorked_35_39_Total,NumberOfHoursWorked_35_39_Males,NumberOfHoursWorked_35_39_Females,NumberOfHoursWorked_40_44_Total,NumberOfHoursWorked_40_44_Males,NumberOfHoursWorked_40_44_Females,NumberOfHoursWorked_45_49_Total,NumberOfHoursWorked_45_49_Males,NumberOfHoursWorked_45_49_Females,NumberOfHoursWorked_50_54_Total,NumberOfHoursWorked_50_54_Males,NumberOfHoursWorked_50_54_Females,NumberOfHoursWorked_55_59_Total,NumberOfHoursWorked_55_59_Males,NumberOfHoursWorked_55_59_Females,NumberOfHoursWorked_60_64_Total,NumberOfHoursWorked_60_64_Males,NumberOfHoursWorked_60_64_Females,NumberOfHoursWorked_65andOver_Total,NumberOfHoursWorked_65andOver_Males,NumberOfHoursWorked_65andOver_Females
Total,1482579,889482,593097,63191,26487,36705,27432,13387,14045,31085,14146,16940,595950,313095,282856,280462,167159,113303,159402,105207,54195,72181,50891,21290,109744,82475,27270,143131,116637,26494
Below 500,50037,39074,10962,8147,2616,5530,1408,627,781,1071,529,542,12910,11677,1233,5480,4784,696,4170,3805,365,2377,2071,306,4457,3977,480,10018,8989,1029
500 - 999,99475,47357,52118,17811,6214,11597,7797,3643,4154,5664,2441,3223,26589,11919,14670,17188,8263,8925,5960,3201,2759,4124,2405,1719,5387,3264,2123,8955,6007,2948
"1,000 - 1,499",196214,100658,95556,11508,4901,6606,5893,2953,2940,6052,2379,3673,68098,29199,38899,46343,22482,23861,16350,9345,7005,9218,5747,3471,12443,8177,4266,20309,15474,4835
"1,500 - 1,999",206348,115038,91310,6108,2751,3358,3159,1537,1622,4251,1699,2552,85212,38202,47010,46674,26518,20156,18960,12195,6765,8834,6166,2668,13518,9881,3636,19633,16090,3543
"2,000 - 2,999",341747,197787,143960,8077,3732,4345,3632,1744,1887,5534,2496,3038,153600,72568,81032,69047,41682,27365,34600,22334,12266,14455,10292,4163,23241,18160,5081,29561,24779,4783
"3,000 - 3,999",225880,141549,84331,4545,2152,2393,2039,949,1090,3111,1478,1634,102381,55781,46600,40897,26323,14573,25543,17075,8468,10865,7902,2963,16277,12742,3534,20223,17147,3076
"4,000 - 4,999",116793,74808,41984,2137,1119,1019,1087,565,521,1672,894,778,52577,30412,22164,19446,12529,6917,14930,9802,5129,6166,4414,1751,8915,6876,2038,9864,8197,1667
"5,000 - 5,999",72602,48562,24040,1492,797,695,697,342,355,1157,677,480,31098,19563,11535,11186,7492,3694,10227,6834,3393,4027,2864,1163,6117,4681,1436,6602,5312,1289
"6,000 - 6,999",48406,32032,16374,1001,543,458,481,304,177,786,393,394,19907,12485,7422,7345,4729,2615,7098,4799,2299,2848,1988,860,4362,3125,1237,4577,3665,912
"7,000 - 7,999",30880,21036,9843,643,366,277,448,182,266,515,285,229,12186,8084,4102,4487,3107,1380,4780,3178,1602,2070,1499,571,2994,2156,838,2756,2179,577
"8,000 - 8,999",22098,15656,6442,331,208,123,164,89,75,319,217,102,8511,5936,2576,3375,2387,988,3654,2551,1103,1514,1106,408,2167,1552,615,2062,1609,453
"9,000 - 9,999",15041,10863,4178,218,136,81,84,69,14,205,122,83,5618,3989,1629,2035,1475,560,2605,1880,725,1139,806,333,1802,1301,501,1337,1085,252
"10,000 & Over",57058,45061,11997,1174,951,223,543,382,161,748,536,212,17263,13279,3984,6960,5388,1572,10525,8209,2316,4544,3630,913,8065,6581,1484,7236,6104,1132
